Rank   | Player                               |      Elo | Games
--------------------------------------------------------------
1      | John Lennon                          |   2166.7 | 164
2      | Folger Pyles                         |   2129.4 | 158
3      | Conan Jennings                       |   2097.4 | 145
4      | Derek Apsche                         |   2082.5 | 140
5      | Samuel Pope                          |   2073.1 | 136
6      | Nassim Fouchane                      |   2056.3 | 205
7      | Brian Daugherty                      |   2054.2 | 123
8      | liam Vsl                             |   2047.0 | 176
9      | Innes Wilson                         |   2043.9 | 275
10     | Josh Roberts                         |   2027.2 | 180
11     | Jack Harpster                        |   2024.1 | 165
12     | Zach Point                           |   2019.4 | 182
13     | Steve Trimble                        |   1990.1 | 150
14     | Björn Eriksson                       |   1980.8 | 124
15     | Durante "Glynisir" Bozzini           |   1980.4 | 94
16     | Gustavo José Branco Varandas de Sou… |   1972.5 | 95
17     | Olivier WEISS                        |   1970.4 | 82
18     | Wesley St. Hines                     |   1963.5 | 54
19     | Max Berlove                          |   1958.0 | 114
20     | Cody Jiru                            |   1954.0 | 124
21     | Martyn Cooper                        |   1953.4 | 83
22     | Nick Jagiello                        |   1951.8 | 155
23     | Andy Quas-Cohen                      |   1949.6 | 113
24     | John Winter Russell                  |   1948.6 | 148
25     | Mark Hertel                          |   1945.0 | 223
26     | Colin Kay                            |   1944.5 | 139
27     | Nathan Roberts                       |   1938.6 | 132
28     | Jeremy Atkinson                      |   1938.4 | 154
29     | Seth Piper                           |   1936.3 | 85
30     | Junior Aflleje                       |   1934.4 | 132
31     | Jeffrey Kolodner                     |   1931.8 | 208
32     | Luis Stiemerling                     |   1931.8 | 120
33     | Niklas Frerichs                      |   1926.9 | 110
34     | Travis King                          |   1926.5 | 62
35     | David Gaylard                        |   1925.9 | 126
36     | Mani Cheema                          |   1918.2 | 126
37     | Noah Neundorfer                      |   1916.7 | 122
38     | Alban de Polignac                    |   1916.5 | 39
39     | Brad Chester                         |   1916.0 | 154
40     | Tucker Rickey                        |   1915.4 | 96
41     | Jason McKenzie                       |   1914.0 | 142
42     | Justin Moore                         |   1913.4 | 193
43     | TJ Lanigan                           |   1911.7 | 213
44     | Dustin Hammond                       |   1910.6 | 85
45     | Mike Muzeni                          |   1909.7 | 123
46     | Ed Watts                             |   1909.2 | 187
47     | Tim Schneider                        |   1903.8 | 85
48     | Martin Bræmer Nielsen                |   1903.6 | 87
49     | Richard Siegler                      |   1901.9 | 80
50     | Ben Jurek                            |   1901.3 | 279
51     | Nick Nanavati                        |   1900.2 | 132
52     | Boris Michev                         |   1899.5 | 75
53     | Terroxer El Rojo                     |   1896.9 | 111
54     | Kyle Grundy                          |   1894.4 | 191
55     | Jack Murphy                          |   1891.8 | 147
56     | Alex Fowler                          |   1890.8 | 158
57     | Drew Salzborn                        |   1889.3 | 186
58     | Emil Söderholm                       |   1889.2 | 88
59     | Jesper Unander-Scharin               |   1889.1 | 126
60     | Jordan Nach                          |   1885.9 | 95
61     | Forrest Phanton                      |   1884.7 | 156
62     | Sascha Alexander Edelkraut           |   1882.2 | 169
63     | Samuel Martin                        |   1878.2 | 64
64     | Kyle McCord                          |   1876.1 | 134
65     | Mickey Baird-Parker                  |   1875.7 | 57
66     | Niklas Fritschen                     |   1875.3 | 153
67     | Justin Serrano                       |   1874.2 | 126
68     | Manuel Wayand                        |   1870.5 | 196
69     | Paul Neuburger                       |   1870.1 | 68
70     | Scott Ketcham                        |   1869.5 | 107
71     | Mathieu Clerc                        |   1868.5 | 93
72     | Rhys Cunningham                      |   1867.7 | 112
73     | Timothy Grant                        |   1865.0 | 80
74     | Floof Cox                            |   1864.5 | 93
75     | Stu Angel                            |   1863.4 | 115
76     | Trae Burnett                         |   1862.0 | 100
77     | Christopher Langton                  |   1861.9 | 126
78     | Lachlan Rigg                         |   1861.0 | 99
79     | Jordan McGregor                      |   1860.4 | 117
80     | Matt Bell                            |   1860.2 | 155
81     | Brian Seipp                          |   1858.6 | 148
82     | John Kilcommons                      |   1858.0 | 103
83     | Michael Mann                         |   1857.6 | 173
84     | Will B                               |   1857.0 | 83
85     | Frasier Parry                        |   1856.9 | 82
86     | Konrad Schmuck                       |   1856.0 | 101
87     | Dan Sammons                          |   1855.8 | 85
88     | Alexandre Sacco                      |   1854.4 | 86
89     | Simon Darre                          |   1853.6 | 65
90     | Borja FM                             |   1853.0 | 109
91     | Tom Green                            |   1853.0 | 118
92     | Donovan Sailo                        |   1851.6 | 120
93     | Eirik Rokne Stensland                |   1850.0 | 68
94     | Joshua Campbell                      |   1849.9 | 280
95     | Matt Bonnet                          |   1849.2 | 76
96     | Lukas Troller                        |   1847.0 | 123
97     | Malaki Fowler                        |   1847.0 | 189
98     | Celeste Lorch                        |   1845.3 | 77
99     | Joshua Townley                       |   1844.6 | 69
100    | Nico Urrea                           |   1843.0 | 155
101    | Greg Chamberlain                     |   1842.0 | 168
102    | Dom Maidlow                          |   1841.4 | 93
103    | Josie Cartwright                     |   1841.3 | 74
104    | Christian Breuer                     |   1841.0 | 98
105    | Adam Green                           |   1840.8 | 108
106    | Brandon Cating                       |   1839.8 | 55
107    | Daniel Olivas                        |   1838.5 | 62
108    | Leif Westermann                      |   1837.7 | 94
109    | Ruben Zhao                           |   1837.3 | 104
110    | Erik Lathouras                       |   1836.8 | 67
111    | Dan Meloro                           |   1836.3 | 53
112    | Gregory Hunter                       |   1836.3 | 111
113    | Harley Scully                        |   1836.2 | 145
114    | Ben Neal                             |   1835.5 | 68
115    | Troy Freiburger                      |   1834.0 | 43
116    | Christopher Radford                  |   1833.0 | 81
117    | Stephen Box                          |   1832.5 | 116
118    | Kit Smith Hanna                      |   1830.4 | 101
119    | Falco La_Orden                       |   1829.0 | 51
120    | Jack Tite                            |   1828.4 | 158
121    | Chase Bandl                          |   1828.2 | 118
122    | Robert Birmingham                    |   1827.8 | 117
123    | Byron 🔥🎲 Sidhu                       |   1826.0 | 58
124    | Bruce Duffy                          |   1826.0 | 124
125    | Toby Bennett                         |   1825.8 | 150
126    | Guillaume Dusaussois                 |   1824.9 | 165
127    | Pascal Haberstroh                    |   1822.5 | 141
128    | Roger Boira                          |   1821.9 | 100
129    | Joel Larsson                         |   1821.7 | 126
130    | Pau Poensgen 🦭                       |   1821.6 | 43
131    | Shaun Reynolds                       |   1821.1 | 118
132    | Ari C                                |   1820.2 | 47
133    | Brenton Weiss                        |   1818.1 | 93
134    | John Holbrook                        |   1816.3 | 171
135    | Tom Lowman                           |   1816.1 | 150
136    | Logan Heath                          |   1815.3 | 81
137    | Steven Crawley                       |   1813.7 | 119
138    | Andrea Manfroni                      |   1813.7 | 90
139    | Trenton Bates                        |   1813.4 | 52
140    | Nicholas Redford                     |   1813.3 | 109
141    | Alex Spathopoulos                    |   1812.6 | 137
142    | Marshall Arthurs                     |   1811.1 | 118
143    | Lukáš Jedlovec                       |   1810.4 | 45
144    | Chris Irvine                         |   1809.0 | 137
145    | Sam Nowrouzi                         |   1808.2 | 139
146    | Ken Bush                             |   1807.4 | 78
147    | Cam Hawkins                          |   1806.5 | 76
148    | Randy Brigham                        |   1806.0 | 59
149    | Kalle Abrahamsson                    |   1803.4 | 57
150    | Giorgio castelli                     |   1802.9 | 95
151    | Michael Duff                         |   1802.6 | 159
152    | Anthony Triano                       |   1802.3 | 43
153    | Evan Stump                           |   1801.7 | 87
154    | Jonathan Summerfield                 |   1801.2 | 56
155    | Brendan McKenzie                     |   1800.5 | 103
156    | Cory White                           |   1800.5 | 74
157    | Matt Evans                           |   1799.3 | 146
158    | Chris Green                          |   1799.1 | 138
159    | Alexander Jessen                     |   1798.4 | 62
160    | Johnny Zoo                           |   1796.8 | 99
161    | Marek Vlnka                          |   1796.7 | 94
162    | Rees Darvill                         |   1796.6 | 122
163    | Marco Santopadre                     |   1796.1 | 106
164    | John Vuchetich                       |   1795.7 | 71
165    | Kyle Parry                           |   1795.6 | 122
166    | François Lalonde                     |   1795.6 | 162
167    | Jeff Jew                             |   1794.8 | 149
168    | Alex Macdougall                      |   1793.2 | 91
169    | Kass Kielly-burke                    |   1792.8 | 76
170    | Sam Dickinson                        |   1791.6 | 134
171    | Idavoll Heimdall                     |   1791.6 | 55
172    | Anthony Vanella                      |   1791.2 | 93
173    | Aron Huckaba                         |   1790.1 | 37
174    | Arne Zerndt                          |   1789.4 | 104
175    | Lukas Wobak                          |   1789.2 | 125
176    | Matt Robertson                       |   1789.0 | 91
177    | James Walsh                          |   1788.4 | 123
178    | Charles Burgard                      |   1788.2 | 110
179    | Paul Bridge                          |   1786.9 | 207
180    | Tom Godfrey                          |   1786.8 | 89
181    | Louis Ballington                     |   1786.0 | 86
182    | Zach Comeau                          |   1785.8 | 112
183    | Nicolo Gili                          |   1785.6 | 59
184    | Matthew Langton                      |   1785.3 | 96
185    | martin brown                         |   1785.3 | 98
186    | Ron Eliyahoo                         |   1785.2 | 94
187    | Charles Barber                       |   1785.2 | 133
188    | Euan Bedford-Cooper                  |   1785.1 | 69
189    | Allan Davidson                       |   1784.9 | 97
190    | Preston Southan                      |   1784.2 | 87
191    | Jökull Jóhannsson                    |   1783.6 | 84
192    | Jonathan Clarke                      |   1783.5 | 83
193    | Scott McCutcheon                     |   1783.4 | 78
194    | Dustin Henshaw                       |   1782.8 | 46
195    | Ratnu Vaidya                         |   1782.7 | 53
196    | Amador Perez                         |   1781.5 | 61
197    | Jason Flanzer                        |   1781.4 | 85
198    | Vik Vijay                            |   1781.3 | 93
199    | Alex Brudnicki                       |   1781.0 | 60
200    | Peter Elias                          |   1779.5 | 128
201    | Jeffrey Colpitts                     |   1779.2 | 80
202    | Brian Zhu                            |   1779.1 | 101
203    | Ben Greenlay                         |   1779.1 | 48
204    | Jonathon Betteridge                  |   1778.9 | 100
205    | William Fuhrimann                    |   1778.7 | 147
206    | Luke Townsend                        |   1778.4 | 105
207    | Larry Oliver                         |   1776.6 | 154
208    | Joe Loke                             |   1776.6 | 62
209    | OuX ™                                |   1776.3 | 79
210    | Ridvan Martinez                      |   1775.5 | 188
211    | Daniel Latham                        |   1774.9 | 60
212    | Patrick Greatbatch                   |   1774.4 | 93
213    | Edoardo Rinaldi                      |   1774.3 | 77
214    | Kyle Trayah                          |   1774.3 | 111
215    | Kevin Leonard                        |   1774.1 | 117
216    | Phillip Schwan                       |   1773.8 | 91
217    | Liam Hackett                         |   1773.3 | 66
218    | Antonio Mejias                       |   1772.9 | 107
219    | Jean-loup Genin                      |   1772.8 | 37
220    | Chris Cuerden                        |   1772.5 | 50
221    | Rafael Harbinson                     |   1772.0 | 101
222    | Ryan Kerr                            |   1771.4 | 120
223    | Chris Dailey                         |   1771.3 | 85
224    | Stephen Henry                        |   1771.3 | 137
225    | Dylan Cowan                          |   1770.7 | 110
226    | Thomas Cowan                         |   1770.6 | 53
227    | Éric Marcoux                         |   1770.0 | 98
228    | Robert Jones                         |   1770.0 | 148
229    | Joel Gállego                         |   1769.7 | 37
230    | Dustin Zeliff                        |   1769.5 | 137
231    | Jono Bishop                          |   1769.5 | 66
232    | Adam Gourlay                         |   1769.4 | 121
233    | Nick Antzoulatos                     |   1769.4 | 71
234    | Devin Swann                          |   1769.4 | 105
235    | Zachary Morales                      |   1768.9 | 68
236    | Mike Robertson                       |   1768.5 | 60
237    | Max Saylor                           |   1766.0 | 37
238    | Isaac Terada                         |   1766.0 | 81
239    | Artur Güttler                        |   1765.3 | 111
240    | Martin Hultgren                      |   1764.9 | 86
241    | Alex Pina                            |   1764.8 | 121
242    | Jonathan Arkin                       |   1764.8 | 89
243    | Jorge Tobar                          |   1764.7 | 62
244    | Thomas Byrd                          |   1764.5 | 112
245    | Christopher Herron                   |   1763.9 | 87
246    | Tom Cohen                            |   1763.4 | 95
247    | Yann TRAN                            |   1763.2 | 101
248    | Ben Jones                            |   1763.0 | 127
249    | Donald Plummer                       |   1763.0 | 193
250    | Alexander Kondakov                   |   1762.7 | 33
251    | JC van der Lee                       |   1762.5 | 57
252    | Scotty Bee                           |   1762.1 | 81
253    | Guillaume "Razorix" Buchkremer       |   1761.6 | 109
254    | Sam Nash                             |   1761.1 | 94
255    | Matthew Reeson                       |   1761.1 | 86
256    | Steven Salazar                       |   1760.9 | 136
257    | David Coren                          |   1760.8 | 100
258    | Chris Jung                           |   1760.0 | 42
259    | Kyle Mackenzie                       |   1759.0 | 81
260    | chloe chippindale                    |   1758.8 | 45
261    | Stephen Mitchell                     |   1758.5 | 89
262    | Quoc Lay                             |   1758.1 | 52
263    | Benjamin Frederiksen                 |   1757.9 | 87
264    | Dom Ridley                           |   1757.7 | 42
265    | Rowan Kennett                        |   1757.4 | 83
266    | josh crowe                           |   1757.3 | 89
267    | Dan Richards                         |   1756.8 | 47
268    | Aaron Hermstedt                      |   1756.7 | 69
269    | Vincent Stein                        |   1756.6 | 83
270    | Jamie Chapman                        |   1755.1 | 110
271    | Garrett Befera                       |   1754.3 | 79
272    | Z Martin                             |   1754.3 | 86
273    | Alejandro Mancuso Serrano            |   1754.1 | 91
274    | Philip König                         |   1754.0 | 72
275    | Pedro Bollain de la Sota 🐢           |   1752.8 | 47
276    | Brent Simon                          |   1752.0 | 188
277    | Dean Sinnbeck                        |   1752.0 | 96
278    | Nick Hodson                          |   1751.7 | 69
279    | Treynor Wolfe                        |   1751.5 | 77
280    | Florian DST.                         |   1751.2 | 33
281    | Tyler Principio                      |   1750.7 | 169
282    | Jacob O’Donnell                      |   1750.3 | 66
283    | Jake Herrod                          |   1749.9 | 42
284    | Thomas Harkestad                     |   1749.5 | 79
285    | David T.                             |   1749.4 | 81
286    | Dominic Gierber                      |   1749.1 | 70
287    | Kevin „planB_God“ Zöllinger          |   1748.9 | 111
288    | Liam Stephens                        |   1747.7 | 110
289    | Peter Herbild                        |   1747.2 | 83
290    | Sebastien Geoffrion                  |   1747.1 | 79
291    | Riley Morris                         |   1746.5 | 151
292    | Ivan Begovic                         |   1746.1 | 55
293    | Liam Callebout                       |   1746.0 | 84
294    | Steven Pampreen                      |   1745.8 | 64
295    | Chase Chappell                       |   1745.3 | 116
296    | Jason Horne                          |   1744.6 | 69
297    | Anthony Dalla Lana                   |   1744.4 | 63
298    | Thomas Wobak                         |   1744.2 | 127
299    | Lyle Dixon                           |   1744.1 | 78
300    | Jakub Leitner                        |   1744.0 | 100
301    | Tyler Stice                          |   1744.0 | 67
302    | Kayu Orellana                        |   1743.8 | 89
303    | Stefan Stueber                       |   1743.6 | 91
304    | Matthew Hartnett                     |   1743.5 | 76
305    | Jakub Jansa                          |   1743.3 | 177
306    | Levi Hummon                          |   1742.9 | 61
307    | Gonzalo "Raven" de La Moneda         |   1742.6 | 30
308    | Austin Wingfield                     |   1742.3 | 107
309    | Damien Owen                          |   1742.1 | 37
310    | Steven Ross                          |   1742.1 | 104
311    | Louis Boisvert                       |   1742.0 | 94
312    | Gareth Jones                         |   1741.8 | 120
313    | Jerome Connolly                      |   1740.7 | 40
314    | Oliver Smith                         |   1740.4 | 74
315    | Oscar Ruiz                           |   1740.4 | 129
316    | Alejandro Garcia                     |   1740.3 | 169
317    | Tanner Floyd                         |   1740.2 | 63
318    | Jacob Warn                           |   1740.1 | 91
319    | Grischa Gerwert                      |   1740.1 | 124
320    | Killian Minton                       |   1740.1 | 98
321    | Andrew Champion                      |   1740.0 | 69
322    | Jordan Galaugher                     |   1739.8 | 131
323    | Callum German                        |   1739.5 | 62
324    | Paul Dadzie                          |   1739.5 | 78
325    | Hunter Siems                         |   1739.4 | 66
326    | Ryan Verbeck                         |   1739.4 | 65
327    | Nicola Dusan Zanelli                 |   1739.3 | 75
328    | Michael Boyle                        |   1739.1 | 74
329    | Chris martens                        |   1739.1 | 92
330    | Joseph Sault                         |   1738.9 | 99
331    | Mason Mutz                           |   1738.9 | 78
332    | Jake Chalmers                        |   1738.3 | 58
333    | Aidan Brocklehurst                   |   1738.1 | 112
334    | Manel Tulla                          |   1737.9 | 60
335    | Quentin Tridon                       |   1737.8 | 40
336    | Joshua "Joushi" Howard               |   1737.2 | 25
337    | Kody Drake                           |   1737.1 | 105
338    | tony barrett                         |   1736.9 | 95
339    | Hugo Richiardi                       |   1736.7 | 54
340    | Francesco Di Bonaventura             |   1736.2 | 82
341    | Panagiotis Keladitis                 |   1736.0 | 53
342    | Jeff Cope                            |   1735.9 | 101
343    | Lewis Hersman                        |   1735.8 | 66
344    | Tyler Bortel                         |   1735.7 | 130
345    | Arthur Tu                            |   1735.4 | 99
346    | Lasse Blichfeldt                     |   1734.9 | 42
347    | Alex Ginns                           |   1734.8 | 50
348    | Majd Kuteifan                        |   1734.7 | 58
349    | Jonty Larsen                         |   1734.7 | 78
350    | Giulio Cesare Ghermandi              |   1734.5 | 71
351    | Kev Hughes                           |   1734.4 | 65
352    | Ken Edwards                          |   1734.0 | 92
353    | Robert Moreland                      |   1733.6 | 121
354    | Anthony Fung                         |   1733.6 | 93
355    | Joshua Howard                        |   1732.9 | 91
356    | Richard Cozart                       |   1732.9 | 80
357    | Fritz Peters                         |   1732.7 | 102
358    | Jay Seebarun                         |   1732.6 | 121
359    | Nicholas Fromme                      |   1732.6 | 166
360    | Jordan Berresford                    |   1732.2 | 74
361    | Stefan Samson                        |   1732.1 | 61
362    | Matthew Doughman                     |   1732.0 | 63
363    | Malte Höfs                           |   1731.8 | 102
364    | Jonathan Sleigh-johnson              |   1731.5 | 93
365    | Harry Lees                           |   1731.3 | 60
366    | kyle lamperez                        |   1731.1 | 63
367    | Riley Tremblay                       |   1730.9 | 69
368    | Jensen Goh                           |   1730.5 | 47
369    | Zachery Riegling                     |   1730.5 | 71
370    | Jacob Wagner                         |   1730.3 | 63
371    | Seth Oster                           |   1730.0 | 117
372    | Liam Keane                           |   1729.9 | 137
373    | Tony Phillips                        |   1729.7 | 77
374    | Ben Isenhoff                         |   1729.7 | 69
375    | Joshua Woods                         |   1729.6 | 93
376    | Matty Green                          |   1729.4 | 25
377    | Matt Estrada                         |   1728.8 | 65
378    | Matthew McCurdy                      |   1728.8 | 107
379    | Benson Bledsoe                       |   1728.5 | 35
380    | Javier Peigneux                      |   1727.7 | 75
381    | Kirk Powell                          |   1727.1 | 34
382    | Thomas Moore                         |   1726.8 | 88
383    | Kian Tan                             |   1726.8 | 64
384    | Brandon Holm                         |   1726.6 | 107
385    | David Burdett                        |   1726.3 | 72
386    | Daniel Klammer                       |   1726.0 | 60
387    | Giri {°_°}                           |   1725.5 | 35
388    | Fabian Huber                         |   1725.5 | 137
389    | Aiden McFaull                        |   1725.2 | 71
390    | Matt Morosoli                        |   1725.2 | 93
391    | Matt Schuchman                       |   1725.0 | 79
392    | Fred Otto                            |   1724.9 | 91
393    | Alexander Eichinger                  |   1724.7 | 69
394    | Ben Coubrough                        |   1724.5 | 92
395    | Lachlan Booth                        |   1724.1 | 80
396    | Alexander Englezos                   |   1724.1 | 99
397    | Tim Schlizio                         |   1723.8 | 81
398    | Adam Parmenter                       |   1723.8 | 169
399    | Keenan Elliot                        |   1723.6 | 60
400    | Vojtech Čistecký                     |   1723.6 | 115
401    | Michael Hamilton                     |   1723.6 | 114
402    | Nelson WiRm                          |   1723.5 | 36
403    | Bryce Bennett                        |   1723.4 | 118
404    | Git Gud                              |   1723.4 | 111
405    | Fernando Soriano                     |   1723.2 | 30
406    | Frank Kummel                         |   1723.1 | 94
407    | Andrew Lewis                         |   1722.7 | 118
408    | Lucas Sterne                         |   1722.7 | 56
409    | Marc Wörz                            |   1722.3 | 64
410    | Brendan Roy                          |   1722.2 | 78
411    | Luke McCarthy                        |   1722.2 | 69
412    | Devin Orchard                        |   1721.9 | 80
413    | Ciaran Furlong                       |   1721.5 | 63
414    | Pierre Debey                         |   1721.5 | 84
415    | Collin Cochran                       |   1721.4 | 144
416    | John Casey                           |   1721.3 | 115
417    | Cullen Burns                         |   1721.2 | 155
418    | Travis Morton                        |   1721.2 | 44
419    | Pepe Andreu                          |   1721.0 | 61
420    | Duncan Bluhm                         |   1720.6 | 57
421    | Sean Olson                           |   1720.4 | 92
422    | Maxime Rampen                        |   1720.4 | 72
423    | Matthias Bellmann                    |   1720.3 | 96
424    | James Culpepper                      |   1720.2 | 90
425    | Tedd Williamson                      |   1720.0 | 75
426    | Dekkers 🦭🤖                           |   1720.0 | 47
427    | Tim Deetlefs                         |   1719.7 | 139
428    | Michael House                        |   1719.0 | 66
429    | Axel Rydén                           |   1718.9 | 119
430    | Benjamin Rubenstein                  |   1718.5 | 48
431    | Luke Rolph                           |   1718.5 | 44
432    | Stuart  Trainer                      |   1718.5 | 96
433    | Ronnie Kinney                        |   1718.2 | 76
434    | Jonny Simmons                        |   1718.1 | 82
435    | John Harris                          |   1717.9 | 74
436    | Greg Maginnity                       |   1717.7 | 92
437    | Johannes Einemo                      |   1717.1 | 49
438    | Nicholas Krakauer                    |   1716.8 | 20
439    | Kjetil Andre Liknes                  |   1716.1 | 110
440    | Manuel "BEL" Wieczorek               |   1715.6 | 102
441    | Peter Steiner                        |   1715.6 | 149
442    | Mario Titz                           |   1715.6 | 16
443    | George Yu                            |   1715.5 | 44
444    | Simon von Berlepsch                  |   1715.5 | 55
445    | David Bierek                         |   1715.4 | 46
446    | Lane Nusbaum                         |   1715.2 | 108
447    | Matt McWatters                       |   1715.1 | 76
448    | Joshua Brodie                        |   1715.0 | 125
449    | Alessandro Liessem                   |   1715.0 | 67
450    | Denis  🤖 🦾 Naberezhnykh              |   1714.7 | 44
451    | Arnaud ALLOT                         |   1714.5 | 63
452    | Florian den Uijl                     |   1713.8 | 124
453    | William Griffiths                    |   1713.6 | 48
454    | Mark Perry                           |   1713.5 | 150
455    | Tyler Walsh                          |   1713.4 | 87
456    | Travis Finell                        |   1713.0 | 60
457    | Davide Lecci                         |   1712.8 | 43
458    | Jordan Penning                       |   1712.7 | 43
459    | Nicolas Ohlsen-Johnson               |   1712.5 | 71
460    | Joshua Burdine                       |   1712.2 | 47
461    | Ryan Karrer                          |   1711.0 | 54
462    | David Ozawa                          |   1710.6 | 61
463    | Gabriel Nixon                        |   1710.4 | 59
464    | Scott Morris                         |   1709.8 | 86
465    | Michael Stewart                      |   1709.8 | 61
466    | Francisco pellon lopez               |   1709.7 | 70
467    | Aidan Barkley                        |   1709.7 | 64
468    | Alex Ede                             |   1709.6 | 70
469    | Joe Robertson                        |   1709.4 | 40
470    | Oliver Campbell                      |   1709.3 | 30
471    | Brett Smith                          |   1709.3 | 56
472    | Patrick Schmitt                      |   1709.2 | 89
473    | Matthew Cargille                     |   1709.1 | 119
474    | Fernando Martín Ávalos               |   1708.5 | 41
475    | Lukáš Tölg                           |   1708.5 | 68
476    | John Davison                         |   1708.3 | 51
477    | Struan Robertson                     |   1708.1 | 115
478    | Cajolín waif                         |   1708.1 | 96
479    | Scott Horras "Heresy"                |   1707.9 | 65
480    | Zach Starcher                        |   1707.8 | 49
481    | Justin Crain                         |   1707.8 | 39
482    | Nic Burrows                          |   1707.3 | 55
483    | Matthew Green                        |   1707.3 | 100
484    | Jaden Jones                          |   1707.2 | 55
485    | Leigh Brady                          |   1707.1 | 101
486    | Alex Nicolic                         |   1706.8 | 48
487    | Rory Andrew                          |   1706.5 | 55
488    | Nils Gottschalk                      |   1706.5 | 72
489    | Zach Hilts                           |   1706.5 | 195
490    | Logan Antonation                     |   1706.4 | 51
491    | Xavier Barrera                       |   1706.2 | 69
492    | Damien Cooper                        |   1706.1 | 115
493    | Broc Bowman                          |   1706.1 | 86
494    | Robert Kimpton                       |   1705.9 | 128
495    | Ian Power                            |   1705.6 | 97
496    | Dale Mann                            |   1705.6 | 83
497    | Bryan Gorny                          |   1705.3 | 120
498    | Georgios Floros                      |   1705.0 | 65
499    | Alex Terrasson                       |   1704.7 | 44
500    | Marshall Peterson                    |   1704.7 | 112
501    | Anders Palm                          |   1704.6 | 40
502    | Patrick Kilcommons                   |   1704.5 | 69
503    | Stephan Bedford                      |   1704.5 | 51
504    | Matthew Dean                         |   1704.3 | 105
505    | Charles Gould                        |   1704.1 | 184
506    | Alexandre Cavagnaro                  |   1703.6 | 40
507    | Nathan Princi                        |   1703.3 | 76
508    | Liam Steptoe                         |   1703.3 | 36
509    | Harry Gieringer                      |   1703.2 | 77
510    | Aidan Dennis                         |   1702.9 | 72
511    | Yohann Teston                        |   1702.9 | 75
512    | Martijn Van der Most                 |   1702.8 | 45
513    | Ludovico Mazza                       |   1702.8 | 33
514    | Alvaro Perez                         |   1702.7 | 114
515    | Patryk Maik                          |   1702.3 | 33
516    | Iñaki Arrieta                        |   1701.5 | 50
517    | Mark Morrow                          |   1701.4 | 79
518    | Ryan Hayes                           |   1701.3 | 32
519    | Mike Cheng                           |   1700.8 | 50
520    | Tyler Brennan                        |   1700.6 | 128
521    | Alexander Storm-Jessen               |   1700.3 | 15
522    | Max DeBarr                           |   1700.3 | 40
523    | Joshua Suarez                        |   1700.2 | 19
524    | Andrew Dickinger                     |   1699.6 | 97
525    | Patrick Harrison                     |   1699.4 | 25
526    | Oliver Johnson                       |   1698.7 | 77
527    | Thomas Greer                         |   1698.6 | 51
528    | Justin Adams                         |   1698.4 | 59
529    | Eddie Chater                         |   1698.4 | 51
530    | Philip Higgs                         |   1698.2 | 78
531    | Shannen Butters                      |   1698.2 | 74
532    | James Thomas                         |   1698.1 | 34
533    | Edward Appel                         |   1698.1 | 137
534    | Jordan Checkley                      |   1697.9 | 95
535    | Chris Clayton                        |   1697.9 | 44
536    | David Paton                          |   1697.8 | 84
537    | John Indellicate                     |   1697.7 | 63
538    | danny evison                         |   1697.7 | 97
539    | Alex Ing                             |   1697.6 | 96
540    | thomas fields                        |   1697.5 | 32
541    | Brian Lane                           |   1697.4 | 68
542    | Callam Taylor-Deighton               |   1697.4 | 40
543    | Chris Kinnair                        |   1697.4 | 49
544    | Pierre-Yves Desplanques              |   1697.0 | 91
545    | Andrea Lelli                         |   1696.9 | 56
546    | Andrei Gorin                         |   1696.9 | 94
547    | Giacomo Tirelli                      |   1696.8 | 55
548    | Keko :)                              |   1696.7 | 42
549    | Shadowblade 40K                      |   1696.5 | 50
550    | Will Dalkin                          |   1696.4 | 68
551    | Peyton Beard                         |   1696.4 | 49
552    | Stephen Platten                      |   1696.4 | 60
553    | Jaime Paris                          |   1696.3 | 46
554    | Jesper Scharff Johannsen             |   1696.1 | 45
555    | Luke Quadling                        |   1695.8 | 92
556    | Matthew Geyer                        |   1695.7 | 68
557    | Eric Tadt                            |   1695.5 | 122
558    | Miguel Moreno                        |   1695.3 | 21
559    | Francisco Javier Domínguez Granado   |   1695.2 | 43
560    | Jouni Haavisto                       |   1695.1 | 67
561    | Hunter Nichols                       |   1695.1 | 98
562    | Chris Cardamone                      |   1694.8 | 66
563    | Ben McDonald                         |   1694.8 | 47
564    | Walter Langendorf                    |   1694.6 | 99
565    | Max Gullberg                         |   1694.4 | 20
566    | James Lovett                         |   1694.2 | 52
567    | Scott Rumple                         |   1694.2 | 71
568    | Jonas Beardsley                      |   1694.0 | 77
569    | Brandon Woods                        |   1693.5 | 41
570    | Marco Brandonisio                    |   1693.4 | 54
571    | Tom Wright                           |   1693.2 | 45
572    | Noah Lockard                         |   1693.1 | 35
573    | T Chambliss                          |   1692.7 | 89
574    | Ben Hackländer                       |   1692.6 | 176
575    | Matthias Murr                        |   1692.3 | 78
576    | Duncan Caillard                      |   1692.2 | 55
577    | Filip Jakob Pogacnik                 |   1691.8 | 73
578    | Francesco Leoni                      |   1691.8 | 29
579    | Thomas Büttelmann                    |   1691.7 | 153
580    | Brett Keable                         |   1691.7 | 71
581    | Sebastian Kipling                    |   1691.3 | 85
582    | Joel Davis                           |   1691.0 | 99
583    | Lluis ThYr0N                         |   1690.9 | 62
584    | Thomas Davies                        |   1690.8 | 35
585    | Adam Sargeant                        |   1690.7 | 59
586    | Mike Fuendling                       |   1690.6 | 35
587    | Josh Stapleton                       |   1690.4 | 43
